"experiment"	"horse"	"lameLeg"	"lameSide"	"lameForeHind"	"A"	"S"	"W"	"pc1"	"pc2"	"pc3"	"pc4"
"1"	1	"B1"	"none"	"none"	"none"	-0.00230354150887532	-4.51345363661143	-0.0138837001948988	0.121519253830607	0.0317500278685005	0.0469532678311776	0.144889321329312
"2"	1	"B1"	"none"	"none"	"none"	-0.0453221720516433	-4.45398164268664	-0.0129619203316678	0.125486566080193	-0.00129581313916618	0.0438448848367253	0.125971775628955
"3"	1	"B1"	"none"	"none"	"none"	-0.0100375736929469	-6.08682873642214	-0.00894303971552562	0.122508768041929	-0.0969723402116337	0.00726734323867301	0.0344850277613025
"4"	1	"B1"	"none"	"none"	"none"	-0.00148796340861779	-4.52062706246566	-0.00945054364540193	0.115688806667844	0.129736796513299	0.0296815699777962	0.128926108190307
"16"	1	"B2"	"none"	"none"	"none"	-0.126048319199739	-5.30312337262161	0.00207496179306976	0.114835110607905	-0.0323922556188284	0.0185641156289639	-0.118193624383615
"17"	1	"B2"	"none"	"none"	"none"	-0.121818569900957	-5.09863066320521	0.0116533844298319	0.116751445880199	-0.00564369657701488	-0.0134330335896703	-0.124500089262955
"18"	1	"B2"	"none"	"none"	"none"	-0.163921286045995	-5.00495811162011	-0.00360155315612787	0.117753650985674	0.0116603118797022	0.0371528703057901	-0.103826560480426
"19"	1	"B2"	"none"	"none"	"none"	-0.22510614644032	-4.27752788050591	0.00768389366669964	0.104302620334842	0.0939556867437819	-0.0119714833375929	-0.100505887381973
"20"	1	"B3"	"none"	"none"	"none"	-0.020753593364304	-4.85365832829031	-0.00488772397083925	0.118848225383993	0.00844722089899283	0.000327346986414672	0.0117052688068261
"21"	1	"B3"	"none"	"none"	"none"	0.00760006800014659	-5.12499959709136	0.0082732997956666	0.0978469208292323	-0.122192554111469	-0.0244165397297819	-0.1270256413173
"22"	1	"B3"	"none"	"none"	"none"	-0.0541480965010025	-6.90932692316982	0.00301257460364468	0.118816582871977	-0.0548022356069104	0.00173127885382306	-0.101093719941753
"23"	1	"B4"	"none"	"none"	"none"	-0.0693810670725166	-6.46236152291417	-0.0032461927448631	0.111687326235018	-0.0590357415499191	0.0146032373654819	-0.0239609637899387
"24"	1	"B4"	"none"	"none"	"none"	0.0373418791621331	-7.52263176423315	-0.000281618530400651	0.0913365788593265	0.124258013933916	-0.00833223270276918	0.0262314902274062
"25"	1	"B4"	"none"	"none"	"none"	-0.0616528567836672	-6.36875244183375	0.0071926970905769	0.112306619208364	0.011415897408481	-0.00347799690297511	-0.0189869896032499
"26"	1	"B4"	"none"	"none"	"none"	-0.0335640699956974	-6.35002187542292	-0.00643156703872316	0.114500641502908	-0.00469957751459094	0.017954429400593	0.0146419033193197
"32"	2	"B1"	"right:hind"	"right"	"hind"	0.177171672808851	-4.33167499482299	-0.0125195631595341	0.122504475503524	-0.0114583293701327	-0.0218470240517427	0.17387531263378
"33"	2	"B1"	"right:hind"	"right"	"hind"	0.465118839898103	-3.41427048958058	0.0243216693548924	0.117004046563572	-0.0381496811199615	-0.164780795038504	0.0680778229249797
"34"	2	"B1"	"right:fore"	"right"	"fore"	-0.0899429740176099	-3.85616980222024	-0.0216600259265367	0.128314676197103	-0.00849015107355118	0.0784416491350289	0.136994228567186
"35"	2	"B1"	"right:fore"	"right"	"fore"	-0.186486790029315	-2.87982279145649	-0.0485495217209261	0.0728366056230337	0.187464172872408	0.16161175134863	-0.116815006517483
"36"	2	"B1"	"left:hind"	"left"	"hind"	-0.182518622172567	-3.71875700158511	-0.0239094793619786	0.122120388302602	0.0752261784125786	0.10592018664773	0.0570567585790554
"37"	2	"B1"	"left:hind"	"left"	"hind"	-0.338012421157451	-3.3786461184082	-0.0359623173715788	0.102870637844649	0.16222863410726	0.127584718299851	-0.048840758016189
"38"	2	"B1"	"left:fore"	"left"	"fore"	0.130401362386137	-4.30844048456482	-0.00574369530003405	0.118867768284177	0.0933207508844958	-0.0203290508527963	0.176685772225797
"39"	2	"B1"	"left:fore"	"left"	"fore"	0.221061715953619	-3.05750622914605	0.0392554142665364	0.114806167506148	-0.0430089082758946	-0.157753298849662	-0.0556538633478934
"40"	2	"B1"	"none"	"none"	"none"	-0.00527985292376596	-4.84919099843775	-0.0099930167879278	0.111286179186147	0.110493047219592	0.0342231454568469	0.115881168046259
"41"	2	"B2"	"right:hind"	"right"	"hind"	0.186014923064739	-4.18209887733665	0.0241625696544328	0.102560218719766	0.000206413462759134	-0.094639834751523	-0.0273352094269952
"42"	2	"B2"	"right:hind"	"right"	"hind"	0.453944006384919	-3.48562292382321	0.0298797896895732	0.107385792867284	-0.0208894511598981	-0.143904707035473	0.0359359466237766
"43"	2	"B2"	"right:fore"	"right"	"fore"	-0.385078828820204	-3.95538425492539	-0.0265453237931655	0.0944977482282119	0.056959799533352	0.0806722985234054	-0.0675479568654126
"44"	2	"B2"	"right:fore"	"right"	"fore"	-0.660216604819977	-2.8538849856696	-0.0392566811690864	0.0913148525772645	0.0694924584378838	0.133643802812582	-0.15779512048503
"45"	2	"B2"	"left:hind"	"left"	"hind"	-0.119281068722289	-5.09282850038096	0.00491619758828421	0.102071885712892	-0.0975632401904267	0.0178732037170824	-0.0989232866555161
